ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,Status
1997,84,6,1,0,0,0,0,0,2.0
1997,84,5,2,0,0,0,0,0,1.0
1997,84,5,1,0,0,0,0,0,1.0
1997,66,2,2,0,0,1,0,0,1.0
1997,60,2,2,0,0,0,0,0,1.0
1997,12,3,1,0,0,0,0,0,1.0
1997,161,20,2,0,0,1,0,0,2.0
1997,60,3,1,0,0,0,0,0,1.0
1997,180,2,1,0,0,0,0,0,1.0
1997,84,4,1,0,0,0,0,0,1.0
1997,60,31,1,0,0,0,0,0,1.0
1997,240,3,2,0,0,0,0,0,1.0
1997,12,3,1,0,0,0,0,0,1.0
1997,71,19,2,0,0,1,0,0,2.0
1997,4,3,1,0,0,0,0,0,2.0
1997,84,20,1,0,0,0,0,0,1.0
1997,300,12,1,0,0,0,0,0,1.0
1997,12,3,1,0,0,0,0,0,1.0
2006,60,8,2,0,0,0,1,0,1.0
1997,120,6,1,0,0,0,0,0,1.0
1997,84,16,1,0,0,0,0,0,1.0
1997,96,7,1,0,0,0,0,0,1.0
2006,93,50,2,0,0,1,2,0,1.0
1997,288,3,1,0,0,0,0,0,1.0
1997,84,3,1,0,0,0,0,0,1.0
2006,84,60,1,0,0,0,1,0,1.0
1997,84,1,2,0,0,1,0,0,1.0
1997,84,1,2,0,0,1,0,0,1.0
1997,84,1,1,0,0,0,0,0,1.0
1997,12,19,1,0,0,0,0,0,1.0
1997,84,8,1,0,0,0,0,0,1.0
1997,60,6,1,0,0,0,0,0,1.0
1997,84,8,2,0,0,0,0,0,1.0
1997,84,5,2,0,0,0,0,0,1.0
1997,84,2,1,0,0,0,0,0,1.0
1997,84,4,1,0,0,0,0,0,1.0
2006,84,5,2,0,0,0,1,0,1.0
1997,120,10,1,0,0,0,0,0,1.0
1997,12,1,1,0,0,0,0,0,1.0
1997,12,4,1,0,0,0,0,0,1.0
1997,180,6,1,0,0,0,0,0,1.0
1997,12,18,1,0,0,0,0,0,1.0
1997,60,7,2,0,0,0,0,0,1.0
1997,12,5,1,0,0,0,0,0,1.0
1997,120,4,1,0,0,0,0,0,1.0
1997,84,12,1,0,0,0,0,0,1.0
1997,300,5,1,0,0,0,0,0,1.0
1997,60,7,1,0,0,0,0,0,1.0
1997,60,4,1,0,0,0,0,0,1.0
1997,240,18,1,15,0,0,0,0,1.0
1997,84,1,2,0,0,0,0,0,1.0
1997,84,10,1,0,0,0,0,0,1.0
1997,300,1,1,0,0,0,0,0,1.0
1997,84,5,1,0,0,0,0,0,1.0
1997,240,6,2,0,0,0,0,0,1.0
1997,12,2,1,0,0,0,0,0,1.0
1997,108,2,1,0,0,0,0,0,1.0
1997,102,10,1,0,0,0,0,0,1.0
1997,84,9,1,0,0,0,0,0,1.0
1997,180,1,1,0,0,0,0,0,1.0
1997,180,2,1,0,0,0,0,0,1.0
1980,10,22,2,0,0,0,0,0,2.0
1997,12,1,1,0,0,0,0,0,1.0
1997,240,6,1,6,4,0,0,0,1.0
1997,13,1,1,0,0,0,0,0,1.0
1997,12,3,1,0,0,0,0,0,1.0
1997,12,3,1,0,0,0,0,0,1.0
1997,60,40,1,0,0,0,0,0,1.0
2006,90,72,2,1,3,0,1,0,1.0
1997,120,1,2,0,0,0,0,0,1.0
1997,60,4,1,0,0,0,0,0,1.0
1997,96,55,1,0,0,0,0,0,1.0
1997,240,9,2,0,0,0,0,0,1.0
1997,60,4,1,0,0,0,0,0,1.0
1997,36,1,1,0,0,0,0,0,1.0
1997,60,1,2,0,0,1,0,0,1.0
2006,12,20,2,0,20,0,1,0,1.0
1997,12,7,1,0,0,0,0,0,1.0
1997,19,2,1,0,0,0,0,0,1.0
1997,16,2,1,0,0,0,0,0,2.0
1997,12,12,1,0,0,0,0,0,1.0
2006,60,7,1,3,10,0,1,1,1.0
1997,120,30,1,0,0,0,0,0,1.0
1997,12,25,1,0,0,0,0,0,1.0
1997,12,20,1,0,0,0,0,0,1.0
1997,12,7,1,0,0,0,0,0,1.0
1997,60,32,1,0,0,0,0,1,1.0
1997,84,9,2,0,0,0,0,0,1.0
1997,3,19,1,0,0,0,0,0,1.0
1997,12,1,1,0,0,0,0,0,1.0
2006,27,10,1,11,10,0,1,1,2.0
1997,149,6,1,0,0,0,0,0,1.0
1997,12,4,1,0,0,0,0,0,1.0
2006,84,1,2,2,1,0,1,0,1.0
1997,12,30,1,0,0,0,0,0,1.0
1997,180,1,2,0,0,0,0,0,1.0
1997,12,10,1,0,0,0,0,0,1.0
2006,41,1,2,3,4,0,1,0,2.0
1997,12,2,1,0,0,0,0,0,1.0
1997,246,1,2,0,0,0,0,0,1.0
1997,60,2,1,0,0,0,0,0,1.0
1997,240,2,2,0,0,0,0,0,1.0
1997,12,1,1,0,0,0,0,0,1.0
1997,12,7,1,0,0,0,0,0,1.0
1997,12,50,1,0,0,0,0,0,1.0
1997,12,1,1,0,0,0,0,0,2.0
1997,297,3,2,0,0,0,0,0,1.0
1998,12,2,1,0,0,0,0,0,1.0
1998,18,3,1,0,0,0,0,0,1.0
2006,60,20,2,0,0,0,1,0,2.0
1997,42,10,2,0,0,0,0,0,1.0
1998,12,5,1,0,0,0,0,0,1.0
1998,27,5,1,0,0,0,0,0,1.0
1998,12,1,1,0,0,0,0,0,1.0
1998,12,6,1,0,0,0,0,0,1.0
1997,60,3,2,0,0,0,0,0,1.0
1998,12,3,1,0,0,0,0,0,1.0
2006,60,4,1,0,4,0,1,0,1.0
1980,120,60,2,0,0,0,0,0,2.0
1997,60,1,2,0,0,0,0,0,1.0
1998,12,3,1,0,0,0,0,0,1.0
2006,60,2,1,0,2,0,1,0,1.0
1997,240,24,1,2,24,0,0,0,1.0
1998,84,46,1,0,0,1,0,0,1.0
1998,12,9,1,0,0,0,0,0,1.0
1998,60,46,1,0,0,1,0,0,1.0
2006,57,8,1,0,8,0,1,0,2.0
1997,60,1,1,0,0,0,0,0,1.0
1998,12,5,1,0,0,0,0,0,1.0
1997,120,4,2,0,0,0,0,0,1.0
1998,104,1,1,0,0,0,0,0,1.0
2006,120,5,1,0,5,0,1,0,1.0
2006,82,1,1,0,1,0,2,1,1.0
1997,298,5,1,0,0,0,0,0,1.0
1998,14,12,1,0,0,0,0,0,1.0
1998,12,22,1,0,0,0,0,0,1.0
2006,84,1,1,3,4,0,2,1,1.0
1997,60,1,2,0,0,0,0,0,1.0
1998,12,6,1,0,0,0,0,0,1.0
1998,61,7,1,0,0,0,0,0,1.0
1997,84,2,2,0,0,0,0,0,1.0
1998,12,6,1,0,0,0,0,0,1.0
1997,120,25,2,0,0,0,0,0,1.0
1998,12,5,1,0,0,0,0,0,1.0
1998,127,4,1,0,0,0,0,1,1.0
1998,58,3,1,0,0,0,0,0,1.0
1997,12,12,1,0,0,0,0,0,1.0
1998,44,1,1,0,0,0,0,1,1.0
2006,32,1,1,1,1,0,1,1,2.0
1997,240,1,1,10,10,1,0,0,1.0
1998,45,5,1,0,0,0,0,0,1.0
1998,72,2,1,0,0,0,0,0,1.0
1997,85,25,1,0,0,0,0,0,1.0
1998,48,2,1,0,0,0,0,0,1.0
1998,60,20,1,0,0,0,0,0,1.0
1997,300,3,2,0,0,0,0,0,1.0
1998,120,1,1,0,0,0,0,0,1.0
1998,84,20,1,0,0,0,0,0,1.0
1998,12,4,1,0,0,0,0,0,1.0
1997,60,8,1,0,0,0,0,0,1.0
1998,84,18,1,0,0,0,0,0,1.0
1998,31,7,1,0,0,0,0,0,1.0
1997,58,5,1,0,0,0,0,0,1.0
1998,12,2,1,0,0,0,0,0,1.0
1998,58,7,1,0,0,0,0,0,1.0
1997,240,22,1,8,8,0,0,0,1.0
1998,120,2,1,0,0,0,0,0,1.0
1997,112,2,1,0,0,0,0,0,1.0
1998,120,9,1,0,0,0,0,0,1.0
1998,84,7,1,0,0,0,0,0,1.0
1997,240,10,1,2,10,0,0,0,1.0
1998,60,1,1,0,0,0,0,0,1.0
1997,84,30,1,0,0,0,0,0,1.0
1998,12,15,1,0,0,0,0,0,1.0
1997,36,2,1,0,0,0,0,0,1.0
1998,38,12,1,0,0,0,0,0,1.0
1998,84,6,1,0,0,0,0,0,1.0
1997,36,4,1,0,0,0,0,1,1.0
1998,36,15,1,0,0,0,0,0,1.0
1997,84,10,1,0,0,0,0,0,1.0
1998,60,3,1,0,0,0,0,0,1.0
1997,300,3,2,0,0,0,0,0,1.0
1998,36,10,1,0,0,0,0,0,1.0
1997,73,214,1,0,0,0,0,0,1.0
1997,36,7,1,0,0,0,0,0,1.0
1998,42,2,1,0,0,0,0,1,1.0
1998,47,20,1,0,0,0,0,1,1.0
1997,84,9,2,0,0,0,0,0,1.0
1998,12,2,1,0,0,0,0,0,1.0
1998,12,10,1,0,0,0,0,0,1.0
1997,36,1,1,0,0,0,0,1,1.0
1998,60,4,1,0,0,0,0,0,1.0
1997,12,17,1,0,0,0,0,0,1.0
1998,84,8,1,0,0,0,0,0,1.0
1997,84,6,1,0,0,0,0,0,1.0
1998,60,8,1,0,0,0,0,0,1.0
1998,60,1,1,0,0,0,0,0,1.0
1998,12,25,1,0,0,0,0,0,1.0
1998,12,4,1,0,0,0,0,1,1.0
1997,60,2,2,0,0,0,0,0,1.0
1998,60,3,1,0,0,0,0,0,1.0
1998,11,7,1,0,0,0,0,0,2.0
1997,84,3,2,0,0,0,0,0,1.0
1998,60,17,1,0,0,0,0,0,1.0
1997,48,1,1,0,0,0,0,0,1.0
1998,60,10,1,0,0,0,0,0,1.0
1997,36,1,1,0,0,0,0,1,1.0
1998,48,25,1,0,0,0,0,0,1.0
1997,12,7,1,0,0,0,0,1,1.0
1998,84,1,1,0,0,0,0,0,1.0
1998,134,4,1,0,0,0,0,0,1.0
2006,84,7,2,0,0,0,2,0,1.0
1998,60,5,1,0,0,0,0,0,1.0
2006,240,4,1,2,2,0,2,0,1.0
1997,180,12,2,0,0,0,2,0,1.0
1997,180,6,1,0,0,0,2,0,1.0
1998,60,7,1,0,0,0,0,0,1.0
1997,84,4,1,0,0,0,0,0,1.0
1998,15,6,1,0,0,0,0,0,2.0
1998,84,3,1,0,0,0,0,0,1.0
1997,84,8,2,0,0,0,0,0,1.0
1998,120,4,1,0,0,0,0,0,1.0
1997,288,9,1,0,0,0,0,0,1.0
1998,180,4,1,0,0,0,0,0,1.0
1998,79,2,1,0,0,0,0,0,1.0
1997,84,2,1,0,0,0,0,0,1.0
1998,60,3,1,0,0,0,0,0,1.0
1997,60,3,1,0,0,0,0,0,1.0
1998,12,3,1,0,0,0,2,0,1.0
2006,240,45,1,20,0,0,1,0,1.0
1997,53,2,2,0,0,1,0,0,2.0
1998,39,4,1,0,0,0,0,0,1.0
1998,60,1,1,0,0,0,0,0,1.0
1997,6,6,1,0,0,0,0,1,1.0
1998,12,20,1,0,0,0,0,0,1.0
1997,255,14,2,0,0,0,0,0,2.0
1998,60,4,1,0,0,0,0,0,1.0
1998,60,18,1,0,0,0,0,0,1.0
2006,55,1,2,0,0,1,1,0,2.0
1998,12,4,1,0,0,0,0,1,1.0
1998,60,2,1,0,0,0,0,0,1.0
1998,60,1,2,0,0,0,0,0,1.0
1998,12,1,2,0,0,0,0,1,1.0
1998,60,2,2,0,0,0,0,1,1.0
1998,12,1,1,0,0,0,0,1,1.0
1998,133,10,1,0,0,0,0,1,1.0
1998,12,9,1,0,0,0,0,1,1.0
1998,12,3,2,0,0,0,0,1,1.0
2006,95,1,2,0,1,0,1,0,2.0
1998,35,2,2,0,0,0,0,0,2.0
2006,12,10,1,0,0,0,1,1,1.0
1998,60,1,2,0,0,0,0,1,1.0
1998,60,1,2,0,0,0,0,1,1.0
1998,84,1,2,0,0,0,0,0,1.0
1998,84,4,1,0,0,0,0,0,1.0
1998,12,15,1,0,0,0,0,1,1.0
1998,59,1,1,0,0,0,0,1,1.0
2006,5,4,1,2,4,0,1,1,2.0
1998,62,9,2,0,0,0,0,1,1.0
2006,57,5,1,4,5,0,1,0,2.0
1998,57,2,2,0,0,0,0,1,1.0
2006,12,3,2,3,0,0,1,1,1.0
1998,120,9,1,0,0,0,0,0,1.0
2006,12,28,1,0,0,0,2,1,1.0
1998,12,1,2,0,0,0,0,1,1.0
1998,72,2,2,0,0,0,0,0,1.0
1998,13,2,1,0,0,0,0,1,2.0
1998,84,1,1,0,0,0,0,0,1.0
1998,84,10,2,0,0,1,0,0,1.0
2006,68,1,2,1,1,0,1,0,2.0
1998,36,23,2,0,0,0,0,0,1.0
2006,84,11,2,0,0,0,1,0,1.0
1998,60,7,1,0,0,0,0,1,1.0
1998,60,7,1,0,0,0,0,0,1.0
1998,60,1,1,0,0,0,0,1,1.0
1998,6,10,1,0,0,0,0,1,1.0
1998,60,3,2,0,0,0,0,0,1.0
1998,48,2,2,0,0,0,0,0,1.0
2006,54,5,1,5,5,0,2,1,2.0
2006,84,1,1,0,1,0,2,1,1.0
1998,84,6,1,0,0,0,0,0,1.0
1998,12,5,1,0,0,0,0,1,1.0
2006,120,3,1,3,3,0,2,0,1.0
2006,123,1,2,5,6,1,1,0,1.0
1998,60,5,2,0,0,1,0,0,1.0
2006,73,6,1,0,6,0,1,1,1.0
1998,82,6,2,0,0,0,0,1,1.0
2006,60,3,2,4,3,0,1,0,2.0
1998,12,5,1,0,0,0,0,1,1.0
1980,120,57,2,0,0,0,0,0,2.0
1998,48,3,1,0,0,0,0,0,1.0
1998,60,5,2,0,0,0,0,1,1.0
1998,84,3,2,0,0,0,0,1,1.0
2006,60,40,2,40,0,0,0,0,1.0
1998,144,2,2,0,0,1,0,0,1.0
2006,84,4,1,0,4,0,2,1,1.0
2006,83,6,1,0,6,0,1,1,1.0
1998,84,3,1,0,0,0,0,1,1.0
1998,60,5,2,0,0,0,0,1,1.0
2006,46,11,1,1,12,0,2,0,2.0
1998,18,1,1,0,0,0,0,0,2.0
2006,120,4,1,4,0,0,2,0,1.0
2006,240,1,1,4,0,0,1,0,1.0
1998,60,1,2,0,0,0,0,0,1.0
1998,12,3,1,0,0,1,0,1,1.0
2006,84,3,1,5,3,0,1,0,1.0
1998,60,1,1,0,0,0,0,1,1.0
1998,12,5,1,0,0,0,0,1,1.0
1998,60,3,1,0,0,0,0,1,1.0
2006,57,5,1,4,5,0,1,1,2.0
1998,84,3,2,0,0,0,0,0,1.0
2006,240,5,1,3,5,0,1,0,1.0
1998,60,10,1,0,0,0,0,0,1.0
1998,60,3,2,0,0,0,0,1,1.0
2006,46,1,1,0,1,0,2,1,2.0
1998,60,4,2,0,0,0,0,0,1.0
1998,84,2,2,0,0,0,0,0,1.0
1998,84,11,1,0,0,0,0,0,1.0
1998,66,1,2,0,0,0,0,0,1.0
2006,36,4,1,0,4,0,1,1,2.0
2006,36,1,2,0,1,0,2,1,1.0
1999,12,7,2,0,0,0,0,1,1.0
2006,14,4,1,3,7,0,2,0,1.0
1999,32,5,1,0,0,0,0,0,2.0
2006,80,4,1,0,4,1,1,1,1.0
1999,84,4,1,0,0,0,0,0,1.0
2006,84,5,1,1,5,0,1,1,1.0
1999,83,2,2,0,0,0,0,1,1.0
1999,60,4,1,0,0,0,0,1,1.0
2006,60,5,1,1,5,0,1,0,1.0
1999,84,1,1,0,0,0,0,0,1.0
1999,11,11,1,0,0,0,0,1,2.0
1999,60,2,1,0,0,0,0,0,1.0
1999,84,2,1,0,0,0,0,0,1.0
1999,60,3,1,0,0,0,0,1,1.0
1999,60,8,1,0,0,0,0,0,1.0
1999,48,5,1,0,0,0,0,0,1.0
1999,70,2,1,0,0,0,0,1,1.0
1980,138,10,1,0,0,0,0,0,2.0
1999,12,11,1,0,0,0,0,1,1.0
1999,60,13,1,0,0,0,0,1,1.0
1999,60,9,1,0,0,0,0,0,1.0
2006,60,2,2,1,3,0,1,0,1.0
1999,84,5,1,0,0,0,0,0,1.0
1999,180,3,1,0,0,0,2,0,1.0
2006,240,6,1,2,6,0,1,0,1.0
1999,84,24,1,0,0,0,0,0,1.0
1999,60,4,1,0,0,0,0,1,1.0
1999,40,8,1,0,0,0,0,0,1.0
1999,60,6,1,0,0,0,0,1,1.0
1999,180,6,2,0,0,0,2,0,1.0
1999,72,5,2,0,0,0,0,0,1.0
2006,240,3,1,2,2,0,2,0,1.0
1999,60,4,2,0,0,0,0,0,1.0
2006,52,5,1,0,0,1,1,0,2.0
1999,60,5,2,0,0,0,0,0,1.0
1999,60,10,1,0,0,0,0,1,1.0
1999,60,5,2,0,0,0,0,1,1.0
1999,60,3,2,0,0,0,0,0,1.0
2006,240,5,2,3,5,0,2,0,1.0
1999,180,12,1,0,0,0,2,0,1.0
1999,60,3,1,0,0,0,0,1,1.0
2006,120,3,1,0,0,0,2,0,1.0
1980,87,20,1,0,0,0,0,0,2.0
1999,25,5,1,0,0,0,0,1,2.0
1999,48,2,2,0,0,0,1,0,1.0
1999,60,4,2,0,0,0,1,1,1.0
1999,240,5,1,0,0,0,2,0,1.0
1999,84,5,1,0,0,0,2,0,1.0
1999,240,40,1,0,0,0,1,0,1.0
2006,60,10,2,0,0,0,2,0,1.0
1980,66,2,2,0,0,0,0,0,2.0
1999,60,10,1,0,0,0,1,1,1.0
1999,32,6,2,0,0,0,1,0,2.0
1999,60,5,1,0,0,0,2,0,1.0
2006,87,2,1,0,2,0,2,0,2.0
1999,60,5,1,0,0,0,2,1,1.0
2000,84,6,1,0,0,0,1,0,1.0
2000,240,3,1,0,0,0,1,0,1.0
2000,65,1,1,0,0,0,1,0,2.0
1997,60,8,1,0,0,0,0,0,1.0
2000,84,3,1,0,0,0,1,0,1.0
2000,84,8,2,0,0,0,1,0,1.0
1997,84,11,1,0,0,0,0,0,1.0
2000,60,2,2,0,0,0,2,0,1.0
2006,42,7,1,0,7,0,1,1,2.0
1997,84,8,2,0,0,0,0,0,1.0
2000,24,1,2,0,0,0,2,0,2.0
2006,93,5,1,0,5,0,1,0,2.0
2000,47,20,1,0,0,0,2,1,2.0
1997,84,1,2,0,0,0,0,0,1.0
2000,60,2,2,0,0,1,1,0,1.0
2006,91,15,1,0,7,0,1,0,2.0
1997,144,14,1,0,0,0,0,0,1.0
2000,84,7,2,0,0,0,1,0,1.0
2006,83,12,1,3,15,0,2,1,1.0
2000,48,1,2,0,0,0,1,0,1.0
1997,120,30,1,0,0,0,0,0,1.0
2000,84,55,2,0,0,0,1,0,1.0
2006,58,12,1,5,12,0,2,1,2.0
2000,60,6,1,0,0,0,1,0,1.0
1997,60,2,2,0,0,1,0,0,1.0
2000,72,10,2,0,0,0,1,0,1.0
1997,84,5,1,0,0,0,0,0,1.0
1997,120,10,1,0,0,0,0,0,1.0
2006,59,1,2,0,1,0,1,0,2.0
1997,240,16,1,4,12,0,0,0,1.0
2000,180,4,1,0,0,0,2,0,1.0
2006,84,1,2,1,1,0,1,0,1.0
2000,60,1,2,0,0,0,1,1,1.0
1997,120,5,2,0,0,0,0,0,1.0
2000,84,3,2,0,0,0,1,0,1.0
2006,57,6,1,0,6,0,1,0,2.0
2000,66,2,2,0,0,0,2,0,1.0
1997,144,2,2,0,0,0,0,0,1.0
2000,60,12,1,0,0,0,1,1,1.0
2000,60,10,2,0,0,0,1,0,1.0
2006,1,11,1,0,11,0,1,1,2.0
1997,74,3,2,0,0,0,0,0,1.0
2000,120,3,1,0,0,0,1,0,1.0
2006,36,2,2,2,4,0,1,1,2.0
1997,60,7,1,0,0,0,0,0,1.0
2000,240,2,1,0,0,0,2,0,1.0
2006,49,2,2,7,0,1,2,0,2.0
2000,60,7,2,0,0,0,1,1,1.0
2006,60,1,2,0,1,0,1,1,1.0
1997,84,6,1,0,0,0,0,0,1.0
2000,60,3,1,0,0,0,1,0,1.0
1997,240,6,1,3,3,0,0,0,1.0
2000,32,3,2,0,0,0,1,1,2.0
1997,149,1,2,0,0,0,0,0,2.0
2000,84,2,2,0,0,0,1,0,1.0
2006,84,1,2,5,5,0,2,0,1.0
1997,120,4,1,0,0,0,0,0,1.0
1997,103,2,1,0,0,0,0,0,1.0
2000,60,112,1,0,0,0,1,0,1.0
2006,77,3,2,3,0,1,1,0,2.0
2000,84,14,1,0,0,0,1,0,1.0
1997,48,5,1,0,0,0,0,0,1.0
2000,240,12,2,0,0,0,1,0,1.0
2006,42,1,1,0,1,0,1,0,1.0
1997,84,5,1,0,0,0,0,0,1.0
2000,180,2,1,0,0,0,2,0,1.0
1997,84,1,1,0,0,0,0,0,1.0
2000,84,4,1,0,0,0,1,0,1.0
1997,31,26,1,0,0,0,0,0,2.0
2000,60,5,1,0,0,0,1,0,1.0
2000,60,3,2,0,0,0,1,0,1.0
2006,74,8,2,8,0,1,2,0,2.0
2001,60,23,1,0,0,0,1,1,1.0
2006,72,1,2,1,0,0,1,0,1.0
2001,120,1,2,0,0,0,0,0,1.0
2001,120,1,1,0,0,0,0,0,1.0
1997,60,6,1,0,0,0,0,0,1.0
2001,36,1,1,0,0,0,0,1,1.0
2006,60,2,2,2,2,0,2,0,1.0
2001,83,40,1,0,0,0,0,1,1.0
2001,16,6,1,0,0,0,0,1,2.0
2001,36,1,1,0,0,0,0,1,1.0
2001,83,10,1,0,0,0,0,1,1.0
2001,84,2,1,0,0,0,0,1,1.0
2001,60,32,1,0,0,0,0,0,1.0
1997,60,11,1,0,0,0,0,0,1.0
2001,36,2,1,0,0,0,0,1,1.0
2006,114,2,2,0,2,1,2,0,1.0
1997,32,1,1,0,0,0,0,0,2.0
2001,7,15,1,0,0,0,0,1,1.0
1997,120,10,1,10,0,0,0,0,1.0
2001,83,1,1,0,0,0,0,1,1.0
2006,300,1,2,2,1,0,1,0,1.0
2001,84,5,1,0,0,0,0,0,1.0
2006,36,1,2,0,1,0,2,0,1.0
2001,84,6,1,0,0,0,0,0,1.0
2001,36,2,1,0,0,0,0,1,1.0
2006,86,2,2,2,0,0,2,0,2.0
1997,180,4,1,0,0,0,0,0,1.0
2001,4,8,1,0,0,0,0,1,2.0
2001,36,7,1,0,0,0,0,1,1.0
2001,36,5,1,0,0,0,0,1,1.0
1997,84,2,2,0,0,0,0,0,1.0
2001,36,1,1,0,0,0,0,1,1.0
1997,120,18,2,0,0,0,0,0,1.0
2001,36,20,1,0,0,0,0,1,1.0
2001,36,4,1,0,0,0,0,1,1.0
1997,300,7,1,0,0,0,0,0,1.0
2001,36,2,1,0,0,0,0,1,1.0
2006,240,20,1,5,0,1,2,0,1.0
1997,63,10,1,0,0,0,0,0,1.0
2001,84,28,1,0,0,0,0,1,1.0
2001,36,15,1,0,0,0,0,1,1.0
2006,240,1,1,0,1,1,2,0,1.0
2001,83,4,1,0,0,1,0,1,1.0
2001,84,1,1,0,0,0,0,1,1.0
1980,180,30,2,0,0,0,0,0,1.0
2001,36,20,1,0,0,0,0,1,1.0
2001,36,15,1,0,0,0,0,0,1.0
2001,36,3,1,0,0,0,0,1,1.0
1997,66,4,1,0,0,0,0,0,2.0
2001,56,1,1,0,0,0,0,1,1.0
2001,36,4,1,0,0,0,0,1,1.0
2006,240,15,1,3,15,1,1,0,1.0
2001,36,15,1,0,0,0,0,1,1.0
